"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39 - 45  MAGAZINE";"";"COLLECTIF";"1";"1";"acheté neuf 30 fr le numéro années 1990";"1000";"1990    ";"BAYEUX  / HEIMDAL  ED.";"";"45";"19.5 X 28.5";"BROCHE / EXCELLENT ";"C 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"";"";"";"";"";"";"";"";"1990    ";"1000";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES ++++";"";"";"REVUE MODERNE MENSUELLE DE TRES GRANDE QUALITE SUR LA DERNIERE GUERRE 
MONDIALE . 

Je n'ai hélas pas la collection complète . Je possède 31 numéros . J'achetais à l'époque chaque numéro 
en Maison de la Presse suivant l'intérêt qu'il me semblait représenter .  En effet , chaque numéro ne suit pas l'ordre chronologique de la guerre , mais présente  5 ou 6 articles couvrant totue la guerre . 

REVUE BOURREE D ILLUSTRATIONS TRES INT. , notamment énormément de photos de l'époque
dont certaines en couleur ,  cartes parfois très précises , fac simile de journaux  etc...

GLOBALEMENT PLUS TECHNIQUE  QUE LA REVUE :coma:  LA DERNIERE GUERRE  :coma: 

J'ai donc 31 numéros  :  une TABLE  est en cours d'exécution , que l'on trouvera au début du numéro 18
ainsi que dans le classeur vert Empire n° 3  . 
L 'ensemble de cette série est contenu dans une CLASS-BOX  VERTE  :coma:  39 - 45  MAGAZINE  :coma:

COTE  :  chaque numéro valait 30 fr à l'achat à l'époque et vaudrait donc au moins 50 fr à l'heure actuelle 
             donc je mets un prix de revente potentielle de 30 fr  soit environ 1000 fr pour la série . ";"";"";"";"";"";"";"";"";"";""
"REVUE DU SOUVENIR NAPOLEONIEN ";"";"COLLECTIF";"0";"1";"";"";"";"";"";"0";"21 X 27";"";"N 5";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"REVUE PERIODIQUE /  4 NUMEROS PAR AN /   TRAITE SURTOUT DE L' HISTOIRE GENERALE DES DEUX EMPIRES , MAIS AUSSI D' HISTOIRE MILITAIRE  (   ENV  20 %  )

VOIR FICHE A CE TITRE EN SERIE  HMRE  ";"";"";"";"";"";"";"";"";"";""
"CONNAISSANCE DE L'HISTOIRE";"";"COLLECTIF";"1";"1";"22 fr le numéro , neuf , années 80  ";"";"1980    ";"PARIS / HACHETTE";"";"0";"22 X 30";"BROCHE / NEUF / EXCELLENT";"C 3";"";"";"GUERRES DU 20° SIECLE ";"";"";"";"";"";"";"";"";"";"1980    ";"600";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"CARTES ++++";"";"";"REVUE MODERNE MENSUELLE DE TRES GRANDE QUALITE PARUE DANS LES ANNEES 1980

COMME SON TITRE NE LE LAISSE PAS ENTENDRE, CETTE REVUE TRAITE DES CONFLITS ARMES
DE L' ENSEMBLE DU 20° SIECLE  . 

LA PLUPART DES NUMEROS COMPORTENT PLUSIEURS ARTICLES SUR DIFFERENTES GUERRES.  CERTAINS SONT CONSACRES PRESQUE ENTIEREMENT A UNE OPERATION OU UNE CAMPAGNE . 

ARTICLES BOURRES DE PHOTOS, D' ILLUSTRATIONS, LE PLUS SOUVENT EN COULEUR , DE CARTES TRES PRECISIES , DE PLANCHES D ARMEMENTS,  D' UNIFORMES ETC. ETC... 

DONC REVUE DU PLUS GRAND INTERET  .
Comme j'achetais les numéros un par un en maison de la Presse , cerains m'ont échappé et je n'ai pas malheureusement la collectionn complète . J'ai une vingtaine de numéros , rassemblés dans une CLASS- 
BOX VERTE  intitulée  :coma:  connaissance de l histoire :coma: 

ON trouvera une TABLE  dans cette class-box , et dans le classeur Vert Empire n° 3  . 


COTE  : chaque numéro se vendraitenviron 30 fr à l'heure actuelle . Je mets donc 600 fr pour le total . ";"";"";"";"";"";"";"";"";"";""
"GAZETTE DES ARMES / LES ARMES DE CAVALERIE ";"";"COLLECTIF";"1";"1";"";"";"1977    ";"";"";"144";"21 X 30";"BROCHE / NEUF / EXCELLENT";"C 7 ";"";"";"";"ARMES";"ARMES DE CAVALERIE / TOUTES EPOQUES ";"";"";"";"";"";"";"";"1977    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++++";"";"";"";"NUMERO SPECIAL DE LA REVUE    GAZTTE DES ARMES   ( voir fiche à ce titre  )  CONSACRE AUX ARMES DE CAVALERIE  DU MOYEN AGE A NOS JOURS . 

SUPERBE VOLUMES , TRES NBREUSES ILLUSTR ,  BP EN COULEUR .";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DE ROCROI";"19 MAI 1643";"COLLECTIF";"1";"1";"acheté neuf sur place en 1998  ,   120 fr";"200";"1993    ";"ED.  ARCH. DEP.DES ARDENNES";"";"55";"32 X 23";"BROCHE/NEUF/ EXCELLENT";"A 2";"";"";"";"OPERATIONS";"ROCROI / GRAND CONDE / DUC D'ENGHIEN";"MARECHAL DE L'HOSPITAL  /";"MELOS  ( Francisco de -- )  / ";"GASSION  ( Maréchal de  -- )  /   BECK  ";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES +++";"";"";"TRES BEL OUVRAGE FORMAT  :coma: PLAQUETTE HORIZONTALE :coma:  sur cette  fameuse bataille

TEXTE EXPLICATIF ACCOMPAGNE D' E XTRAITS DES CHRONIQUES ET RELATIONS DE L EPOQUE 

TRES NOMBREUSES ILLUSTRATIONS  TRES INT .   :  essentiellement en n et blanc car surtout gravures de l'époque . Nombreuses cartes dont certaines d'époque .   A LA FIN  GRANDE CARTE DEPLIANTE EN 
COULEUR , REPROD DU :coma:  DIOCESE DE RHEIMS ET PAIS DE RETHEL  :coma:
En couverture  très belle REPRO COULEUR  DU TABLEAU  DE LA BATAILLE DE ROCROI ( vraisemblablement de Van der Meulen ou équivalent ) . 
ON peut regretter par contre l'absence d'un e carte générale moderne des opérations de la bataille .   ";"";"";"";"";"";"";"";"";"";""
"LA DERNIERE GUERRE  ";"";"COLLECTIF";"1";"1";"acheté neuf 14 fr le numéro années 1970";"1000";"1972    ";"PARIS/ ED.  ATLAS ";"";"20";"23 x 30";"BROCHE / EXCELLENT ";"C 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"MUNICH / TCHECOSLOVAQUIE / ";"POLOGNE 1939 / ";"CAMPAGNE DE FRANCE  1940 ";"";"";"";"";"";"1972    ";"500";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES +++";"";"INDEX DES NOMS +++";"REVUE MODERNE HEBDOMADAIRE   DE GRANDE QUALITE 

AXEE SURTOUT SUR L' ICONOGRAPHIE :  BOURRE DE TRES INTERESSANTES PHOTOS D'EPOQUE
DONT CERTAINES EN COULEUR 

EGALEMENT CARTES ET PLANCHES SUR LES MATERIELS MILITAIRES . 

J'ai acheté réguliètrement les premiers numéros de cette revue , qui couvraient la montée en puissance de 
l'Allemagne , la guerre en Pologne , puis la Campagne de France en 1940  .   J'ai arrêté ensuite . 

J'ai donc les 33 premiers numéros  ( sauf un ou deux manquants )  soit jusqu'à l'armistice franco-allemand . 

Chaque numéro contient un fac similé de la première page d'un journal de l'époque . 

Tous ces numéros sont contenus dans une seule class-box verte  intitulée :coma: La dernière Guerre  Ed. Atlas :coma:

COTE :  j'estime que chaque numéro se vendrait bien au moins 15 fr , soit environ 500 fr pour la :coma: collection :coma:  ( quoique incomplète comme je viens de le dire )  . ";"";"";"";"";"";"";"";"";"";""
"LA SABRETACHE";"CARNETS DE LA SABRETACHE";"COLLECTIF";"1";"1";"";"";"";"";"";"0";"";"";"BUREAU";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PUBLICATION DE LA CELEBRE SOCIETE D' HISTOIRE MILITAIRE :coma:  LA SABRETACHE :coma:

COUVRE TOUTE L HISTOIRE MILITAIRE FRANCAISE MAIS SURTOUT REVOLUTION  EMPIRE 

VOIR FICHE A CE TITRE EN SERIE  HMRE   ";"";"";"";"";"";"";"";"";"";""
"GUERRES ET BATAILLES ";"LA 1ERE GUERRE RACONTEE PAR LES PEINTRES";"COLLECTIF";"1";"1";"acheté 10 fr vers 1975";"";"1975    ";"PARIS ";"";"42";"23.5 X 31";"BROCHE / EXCELLENT ";"A 2";"";"";"GUERRE  1914  - 1918";"ICONOGRAPHIE";"GEORGES SCOTT / ARTISTES PEINTRES";"";"";"";"";"";"";"";"1975    ";"20";"LONS  / MAISON DE LA PRESSE";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"";"";"";"PLAQUETTE GRAND MODELE ,  NUMERO SPECIAL DE LA REVUE :coma: GUERRES ET BATAILLES:coma: . 

CE NUMERO EST CONSACRE  AUX DESSINS ET AQUARELLES REALISEES SUR LA GUERRE DE 14  ,
 LA PLUPART PAR DES PEINTRES AYANT VECU LES COMBATS . 

LIVRE ENTIER D ILLUSTRATIONS , PRESQUES TOUTES EN COULEURS .  BEAUCOUP DE MAGNIFIQUES
BEAUCOUP EN GRAND MODELE  . 

LES PLUS BELLES OEUVRES SONT CELLES DE GEORGES SCOTT,  LE MEILLEUR ELEVE D' EDOUARD DETAILLE  .   ";"";"";"";"";"";"";"";"";"";""
"LE TRAIN ,  170 ANS D' HISTOIRE ";"REVUE HIST. DES ARMEES";"COLLECTIF";"1";"1";"acheté environ 100 fr en 1978";"";"1978    ";"VINCENNES /  RHA";"";"253";"16 X 24";"BROCHE / NEUF / EXCELLENT";"F 7";"";"";"OUVRAGE GENERAL";"";"TRAIN DES EQUIPAGES  / LE TRAIN";"";"";"";"";"";"";"";"1978    ";"200";"FONTAINEBLEAU";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES +++";"";"";"NUMERO SPECIAL DE LA REVUE HISTORIQUE DES ARMEES 

Donc ouvrage très sérieux et très spécialisé , quoiqu'en l'occurrence , il étudie toute l'histoire du train des 
équipages depuis sa création en 1807 jusqu'en 1978  . 

J'ai acheté cet ouvrage à Fontainebleau . En effet , il est paru alors que je me trouvais au 120° REGIMENT
DU TRAIN  !!!

Assez intéressant , nombreuses cartes , nombreuses illustrations , toutes en n et blanc . 
Cependant , il s'agit d'un ouvrage qui fait :coma: un survol :coma: , on ne peut pas attendre des précisions extrêmes 
sur telle ou telle opération . ";"";"";"";"";"";"";"";"";"";""
"CAMPAIGNS ";"REVUE";"COLLECTIF";"1";"1";"";"";"1975    ";"";"";"0";"21 X 27.5";"BORCHE / NEUF/ EXCELLENT";"O 7";"";"";"";"";"";"";"";"";"";"";"";"";"1975    ";"0";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"";"";"";"REVUE DE MILITARIA BRITANNIQUE /  TEXTE EN ANGLAIS / 

PRESENTATION PLUS SIMPLE QUE LES REVUES FRANCAISES / PAPIER DE MOINS BONNE QUALITE / 

J EN AI ACHETE 4 NUMEROS   QUI SONT RASSEMBLES  DANS UNE CLASS BOX VERTE   INTITULEE  :coma: MILITARIA :coma: ";"";"";"";"";"";"";"";"";"";""
"MILITARIA  CLASS- BOX  VERTE ";"REVUES DIVERSES ";"COLLECTIF";"1";"1";"";"";"";"";"";"0";"";"";"O 7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J AI RASSEMBLE DANS CETTE CLASS BOX  DIFFERENTS NUMEROS DE REVUES MILITAIRES QUE J ACHETAIS UN PAR UN  CAR JE NE LES JUGEAIS PAS ASSEZ INTERESSANTES OU CONSTANTES POUR M ' ABONNER .

ON  Y TROUVERA   2  NUMEROS  DE :    ART MILITAIRE                   ( voir fiche à ce titre  ) 
                                 6          :coma:                 :    GAZETTE DES ARMES                      :coma::coma:
                                 4          :coma:                 :    CAMPAIGNS                                        :coma:

PLUS UN OU NUMEROS EPARS DE   LE HUSSARD  / BATAILLES ET BLINDES ( 2007 )  /  SABRES ET BAIONNETTES  / LE SHAKO  /
                                                               DOSSIER H     /  HOMMES DE GUERRE  ( 1988 :  Panzers 1940 )  /  L' AMATEUR D'ARMES  / 
                                                               LA FIGURINE  ( 1993 : Société Belge d'Uniformologie )  /  ";"";"";"";"";"";"";"";"";"";""
"ART MILITAIRE ";"REVUE HIST. DES ARMEES";"COLLECTIF";"1";"1";"";"";"1990    ";"";"";"0";"21 X 30";"BORCHE / NEUF/ EXCELLENT";"O 7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"CARTES  ++++";"";"";"BELLE REVUE  PRESENTATION LUXE  TRAITANT DE TOUTES LES EPOQUES . 

CETTE REVUE VOULAIT UN PEU SUCCEDER A UNIFORMES QUI VENAIT DE S EFFONDRER  ( une aprtie des auteur(s d'Uniformes se retrouvent ici )  . MAIS ELLE A FAIT LONG FEU  . 

J EN AI 2 NUMEROS  /  ILS SONT CONTENUS DANS UNE CLASS BOX VERTE INTITULEE MILITARIA   QUI CONTIENT PAR AILLEURS 
DES NUMEROS DE DIFFERENTES  REVUES  ACHETES AU DETAIL ET QUE JE N AI PAS POURSUIVIES . ";"";"";"";"";"";"";"";"";"";""
"GAZETTE DES ARMES ";"REVUE";"COLLECTIF";"1";"1";"";"";"1975    ";"";"";"0";"21 X 30";"BORCHE / NEUF/ EXCELLENT";"O 7";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"LONS  / MAISON DE LA PRESSE";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"CARTES   +++";"";"";"BELLE REVUE DE MILITARIA CONTEMPORAINE DE LA GAZETTE DES UNIFORMES  ( parue environ depuis 1975 ";" je l'ai suivie de loin jusqu'à 1990 ";" je ne sais pas  si elle n'existe pas encore  )

CETTE REVUE ETAIT ESSENTIELLEMENT CONSACREE AUX ARMES . 

Cependant , de temps uen temps , un numéro m'intéressait , aprce qu'un article était consacré à un épisode guerrier ( surtout guerre de 14 ou de 40 ) 
ou montrait une belle repro de DETAILLE  ou autre . Je l'achetais donc au munéro  ) 

J EN AI 6 NUMEROS   :    REGROUPES DANS UNE CLASS- BOX VERTE INTITULEE   MILITARIA    

( en compagnie de ART MILITAIRE / CAMPAIGNS / DIVERS )";"";"";"";"";"";"";"";"";"";""
"JEAN-CHARLES LANGLOIS ";"LE SPECTACLE DE L'HISTOIRE ";"COLLECTIF / CAT. EXPO DE CAEN ";"1";"1";"";"";"2005    ";"SOMOGY";"";"0";"";"";"E 3";"";"";"";"PEINTURE MILITAIRE";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HMRE . 


CET OUVRAGE TRAITE DU PEINTRE MILITAIRE  LANGLOIS  .  COMME SES OEUVRES COUVRENT AUSSI BIEN LE 1ER EMPIRE QUE LE SECOND  JE FAIS UN RAPPEL DANS CETTE SERIE ";"";"";"";"";"";"";"";"";"";""
"LE MONUMENT FRANCAIS DE WISSEMBOURG ";"";"COLLECTIF / COMITE DU MONUMENT ";"1";"1";"";"";"";"";"";"0";"";"";"C 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HMRE ";"";"";"";"";"";"";"";"";"";""
"LA VICTOIRE DE LA MARNE";"";"CONTAMINE  Henry ";"1";"1";" acheté neuf environ 100fr  vers 1980";"";"1970    ";"PARIS / GALLIMARD";"TRENTE JOURNEES QUI ONT FAIT";"461";"14 X 20";"BROCHE/ NEUF / EXCELLENT";"C 5";"";"";"GUERRE  1914 -  1918";"OPERATIONS";"GUERRE DE 1914 / ANNEE 1914 /";"LA MARNE";"";"";"";"";"";"";"1980    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES +++";"BIBLIOGRAPHIE ++++";"IINDEX  ++++";"EXCELLENT OUVRAGE  SUR LE DEBUT DE LA GUERRE DE 14 ET LA MARNE 

BIEN QUE MODERNE ,  TRES PRECIS ET TRES DOCUMENTE .

PLUSIEURS CARTES TRES PRECISES  /  NOMBREUSES ILLUSTR. N ET BLANC 

BIBLIOGRAPHIE EXHAUSTIVE / INDEX TRES COMPLET  ";"";"";"";"";"";"";"";"";"";""
"LA GUERRE DE CENT ANS";"";"CONTAMINE  Philippe";"1";"1";"acheté neuf envirion 10 fr années 70";"25";"1968    ";"PARIS / PUF";"QUE SAIS-JE";"126";"11.5 X 17.5";"BROCHE  / NEUF / EXCELLENT";"D 1";"";"";"MOYEN AGE";"ETUDE GENERALE";"GUERRE DE CENT ANS   ";"";"";"";"";"";"";"";"1975    ";"15";"LONS";"";"";"";"";"";"";"";"";"";"";"";"BIBLIOGRAPHIE ++";"";"CET OUVRAGE A LES QUALITES DE CETTE COLLECTION :  FAIT LE POINT SUR UNE QUESTION DANS UN VOLUME ASSEZ REDUIT AVEC LE PLUS DE DETAILS POSSIBLE  ";" 

IDEAL POUR ABORDER UNE QUESTION  ";" 

SANS ILLUSTR NI CARTE  /   BIBLIO EN GENERAL SOMMAIRE OU DE DEPART  A LA FIN ";"";"";"";"";"";"";"";"";"";""
"CEUX DES CHARS D' ASSAUT  1918";"";"CORLIEU-JOUVE ";"1";"1";"Acheté 5E (  env. 35 F ) sur brocante Arbois 2016 ";"";"1932    ";"PARIS / TALLANDIER";"";"221";"12 x 19";"BROCHE / EXCELLENT ";"X 4";"";"";"GUERRE  1914 - 1918 ";"SOUVENIRS";"COMBATS DE CHARS  ";"";"";"";"";"";"";"";"2016    ";"35";"BROCANTE  ARBOIS ";"";"";"";"";"";"";"";"";"";"";"";"";"";"OUVRAGE TRES INTERESSANT 

L' AUTEUR ( qui ne donne pas son grade mais on en déduit qu'il est sous-officier , sans doute adjudant , chef de char ) 
DECRIT PAR LE MENU LA VIE DES HOMMES DES CHARS ,  ET LEURS RELATIONS AVEC LEUR ENGIN .  

IL DECRIT DEUX AFFAIRES AVEC PRECISION  :  l  UNE EN JUIN 1918  , LORS DE L' OFFENSIVE DE MANGIN  DANS LE SECTEUR DE  ....        ET L AUTRE EN OCTOBRE  1918  ,  OFFENSIVE EN DIRECTION DE GUISE . 

IL NE DECRIT PAS  MEME EN RESUME   L ENSEMBLE DE L OPERATION ,  MAIS SEULEMENT CE QU'il FAIT ET CE QU'i";"l  VOIT DEPUIS SON CHAR  ET AUSSI CEUX DE LA COMPAGNIE DE CHARS  .  C' EST TOUT  MAIS C' EST ASSEZ ET C'EST DU VECU .    CA MERITERAIT DE SE RENDRE SUR LES LIEUX LE BOUQUIN A LA MAIN , CVOMPTE TENU DE LA PRECISION DES INDICATIONS GEOGRAPHIQUES . 

NB  :  L' AUTEUR SE LIVRE EGALEMENT UN MOMENT SUR DEUX PAGES ,  A UNE REFLEXION SUR LA PAIX ET LA GUERRE . TELLEMENT PERTINENTE QUE JE L' AI SCANNEE  ET CLASSEE DANS UNE  LISTE DE TEXTE POUVANT SERVIR A LA REFLEXION ET A L ARGUMENTATION SUR DIVERS SUJETS . ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DE MALPLAQUET 1709";"L'EFFONDREMENT DE LA FRANCE EVITE";"CORVISIER André ";"1";"1";"acheté neuf 125 fr  vers 2000 à LCV";"150";"1997    ";"PARIS / ED. ECONOMICA";"CAMPAGNES ET STRATEGIES";"172";"15.5 X 24";"BROCHE / NEUF / EXCELLENT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS";"MALPLAQUET / TOURNAI 1709  /  ";"MARECHAL DE VILLARS / BOUFFLERS / MARLBOROUGH /";"GRAMONT / PUYSEGUR / COIGNY /GUEBRIANT / ";"";"";"";"";"";"2000    ";"100";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++";"CARTES  +++";"BIBLIOGRAPHIE  ++++";"INDEX NOMS ET LIEUX ++++";"EXCELLENT OUVRAGE MODERNE SUR CETTE CELEBRE BATAILLE DE LOUIS XIV ,D'AUTANT PLUS PRECIEUX QUE L'ON SAIT QUE LES OUVRAGES 
ET DOCUMENTS SUR CES PERIODES SONT TRES RARES ";" 

DONC OUVRAGE DES PLUS INTERESSANTS ";""
"
QQ ILLUSTR. ET CARTES EN N ET BLANC DE ASSEZ A TRES INTERESSANTES

BIBLIOGRAPHIE TRES COMPLETE / INDEX DES NOMS DE PERSONNES ET DE LIEUX ";"";"";"";"";"";"";"";"";"";""
"LA PSYCHOLOGIE DU COMBAT ";"";"COSTE  Charles";"1";"1";"cadeau  ( collection AZAN )";"";"1929    ";"PARIS / BERGER - LEVRAULT";"";"242";"17 x 25";"BROCHE / ETAT CORRECT ";"C 5";"";"";"ETUDE";"";"";"";"";"";"";"";"";"";"1980    ";"80";"COLLEC.  AZAN ";"";"";"";"";"";"";"";"";"";"";"";"";"";"OUVRAGE SUR LA PSYCHOLOGIE DU COMBAT ET DU COMBATTANT  ECRIT JUSTE APRES LA GUERRE DE 14  PAR  CH. COSTE , qui avait fait cette guerre comme commandant d'infanterie , par ailleurs docteur es lettres .

NB    ENVOI DEDICACE DE L'AUTEUR  AU GENERAL AZAN , DIRECTEUR DE LA SECTION HISTORIQUE DE L'ARMEE DE TERRE . 
         avec une carte de visite de l'auteur ";"";"";"";"";"";"";"";"";"";""
"QUARANTE TROIS ANS DE VIE MILITAIRE ";"";"CUNY   Général ";"1";"1";"acheté 60 fr chez un bouqu années 80";"";"1911    ";"PARIS / PLON";"";"363";"13.5 x 20";"BROCHE / ETAT CORRECT  ";"D 1";"";"";"SECOND  EMPIRE  ET SUITE ";"MEMOIRES / OPERATIONS ";"2° DRAGONS / GUERRE DE 1870 / SPICHEREN / ";"BORNY / REZONVILLE / SAINT-PRIVAT  / ";"SIEGE DE METZ / CAPITULATION DE METZ / ";"ARMEE DU NORD / FAIDHERBE / SAINT-QUENTIN";"NORD ALGERIEN / VIE DE GARNISON /  AUXONNE";"";"";"";"1985    ";"80";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"";"";"";"";"L'auteur s'engage dans l'armée sous le second Empire .  Vie de garnison , anecdotes nombreuses sur la vie de l'armée dans la 
cavalerie  ( 2° Dragons  ) . 
PUis , il participe à la guerre franco-allemande de 1870  :    Bataille de SPICHEREN ,  retraite sur METZ , bataille de BORNY , 
bataille de  REZONVILLE   et  SAINT-PRIVAT  .    SIEGE ET CAPITULATION DE METZ . 

PUis , armée du Nord sous Faidherbe  . Bataille de SAINT-QUENTIN  . 

Ensuite , vie de l'armée après la défaite .  Episode dans le Nord Algérien  , puis diverses garnisons en France dont AUXONNE

OUVRAGE TRES INTERESSANT ET REMPLI D ANECDOTES ET DE DETAILS 

SANS ILLUSTR NI CARTE

ENVOI DE L'AUTEUR ";"";"";"";"";"";"";"";"";"";""
"PATRIMOINE MILITAIRE ";"";"DALLEMAGNE François /  FESSY  Georges ";"1";"1";"acheté neuf env 350 fr  vers 2002";"";"2002    ";"MINISTERE DE LA DEFENSE / SCALA";"";"330";"24 X 30";"RELIE CARTONNE / NEUF / EXCELLENT";"F 8";"";"";"PLACES FORTES ";"ETUDE THEMATIQUE ";"";"";"";"";"";"";"";"";"2002    ";"200";"?";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"CARTES  :   ++";"";"";"SPLENDIDE BOUQUIN D ART EDITE PAR LE MINISTERE DE LA DEFENSE 

TRAITE DE L EVOLUTIO0N  DES DEFENSES ET FORTIFICATIONS DES VILLES DEPUSI LE MOYEN AGE A NOS JOURS 
(  JUSQU A LIGNE MAGNINOT  )  . 
EVIDEMMENT ? GROSSE PART CONSACREE A VAUBAN . 

REMPLI DE MAGNIFIQUES PHOTOS DE VILLES ET DE SITES / SUPERBE LIVRE .";"";"";"";"";"";"";"";"";"";""
"LA GUERRE EN BALLON  ";"";"DANRIT   Capitaine  -  ";"1";"1";"50";"100";"1880    ";"PARIS / FLAMMARION  ";"LA GUERRE DE DEMAIN ";"370";"12 X 18";"RELIE / ETAT MOYEN";"E 3";"";"";"";"";"";"";"";"";"";"";"";"";"1980    ";"100";"BOUQUINISTE  (  ALLEREY  ?  )";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR AU NUMERO 1 DE CETTE COLLECTION :coma:  LA GUERRE EN RASE CAMPAGNE   :coma:";"";"";"";"";"";"";"";"";"";""
"LA GUERRE EN RASE CAMPAGNE ";"";"DANRIT   Capitaine  -  ";"1";"1";"50";"100";"1890    ";"PARIS / FLAMMARION  ";"LA GUERRE DE DEMAIN ";"450";"12 X 18";"RELIE / ETAT MOYEN";"E 3";"";"";"";"";"";"";"";"";"";"";"";"";"1980    ";"100";"BOUQUINISTE  (  ALLEREY  ?  )";"";"";"";"";"";"";"";"";"";"";"";"";"";"SERIE DE LIVRES ( LA GUERRE DE DEMAIN )  ECRITS ENTRE LA GUERRE DE 1870 ET CELLE DE
1914  . 
Par cette génération d'officiers qui préparaient la revanche et qui attendaient la guerre avec impatience .  
Analyse les moyens et tactiques de la future guerre   . Mais ces livres sont curieux car ils semblent (je n'ai 
fait que les feuilleter )  rapporter également beaucoup d'anecdotes , de récits de vie militaire . 


Il semble que cet  ouvrage soit en fait composé de deux volumes .  Vu à 80 E   ( 525 fr ) dans Clavreuil  2004  . ";"";"";"";"";"";"";"";"";"";""
"LOUIS XIV ";"";"DAYOT  Armand ";"1";"1";"";"";"1909    ";"";"";"0";"";"";"N 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE   HG 


JE LE RAPPELLE ICI CAR  UN GRAND NOMBRE DE GRAVURES DE CE BOUQIN SONT CONSACREES   A DES EVENEMENTS MILITIARES
DE CE REGNE  ";"";"";"";"";"";"";"";"";"";""
"PARACHUTE EN INDOCHINE ";"";"DE CHEZAL   Guy ..";"1";"1";"acheté 7 ou 8 fr , neuf , années  ";"";"1966    ";"PARIS / FLAMMARION  ";"J'AI LU Leur aventure ";"439";"11.5 x 16.5";"BROCHE / BON ETAT";"C 1";"";"";"GUERRE D' INDOCHINE ";"MEMOIRES";"INDOCHINE ";"";"";"";"";"";"";"";"1972    ";"20";"LONS ";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRES BON LIVRE ECRIT SUR LA GUERRE D INDOCHINE PAR UN ACTEUR DE CETTE GUERRE

SANS ILLUSTR NI CARTE";"";"";"";"";"";"";"";"";"";""
